Country,Region,Income group,Code,Selected,Value
Aruba,Latin America & Caribbean,High income,ABW,,1
Afghanistan,South Asia,Low income,AFG,,2
Angola,Sub-Saharan Africa,Lower middle income,AGO,,3
Albanie,Europe & Central Asia,Upper middle income,ALB,,4
Andorre,Europe & Central Asia,High income,AND,,5
Émirats arabes unis,Middle East & North Africa,High income,ARE,,6
Argentine,Latin America & Caribbean,Upper middle income,ARG,,7
Arménie,Europe & Central Asia,Upper middle income,ARM,,8
Samoa américaines,East Asia & Pacific,High income,ASM,,9
Antigua-et-Barbuda,Latin America & Caribbean,High income,ATG,,10
Australie,East Asia & Pacific,High income,AUS,,11
Autriche,Europe & Central Asia,High income,AUT,,12
Azerbaïdjan,Europe & Central Asia,Upper middle income,AZE,,13
Burundi,Sub-Saharan Africa,Low income,BDI,,14
Belgique,Europe & Central Asia,High income,BEL,,15
Bénin,Sub-Saharan Africa,Lower middle income,BEN,,16
Burkina Faso,Sub-Saharan Africa,Low income,BFA,,17
Bangladesh,South Asia,Lower middle income,BGD,,18
Bulgarie,Europe & Central Asia,Upper middle income,BGR,,19
Bahreïn,Middle East & North Africa,High income,BHR,,20
"Bahamas, Les",Latin America & Caribbean,High income,BHS,,21
Bosnie-Herzégovine,Europe & Central Asia,Upper middle income,BIH,,22
Biélorussie,Europe & Central Asia,Upper middle income,BLR,,23
Bélize,Latin America & Caribbean,Upper middle income,BLZ,,24
Bermudes,North America,High income,BMU,,25
Bolivie,Latin America & Caribbean,Lower middle income,BOL,,26
Brésil,Latin America & Caribbean,Upper middle income,BRA,,27
Barbade,Latin America & Caribbean,High income,BRB,,28
Brunéi Darussalam,East Asia & Pacific,High income,BRN,,29
Bhoutan,South Asia,Lower middle income,BTN,,30
Botswana,Sub-Saharan Africa,Upper middle income,BWA,,31
République centrafricaine,Sub-Saharan Africa,Low income,CAF,,32
Canada,North America,High income,CAN,,33
Suisse,Europe & Central Asia,High income,CHE,,34
Îles anglo-normandes,Europe & Central Asia,High income,CHI,,35
Chili,Latin America & Caribbean,High income,CHL,,36
Chine,East Asia & Pacific,Upper middle income,CHN,,37
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,CIV,,38
Cameroun,Sub-Saharan Africa,Lower middle income,CMR,,39
"Congo, Dém. représentant",Sub-Saharan Africa,Low income,COD,,40
"Congo, Rép.",Sub-Saharan Africa,Lower middle income,COG,,41
Colombie,Latin America & Caribbean,Upper middle income,COL,,42
Comores,Sub-Saharan Africa,Lower middle income,COM,,43
Cap-Vert,Sub-Saharan Africa,Lower middle income,CPV,,44
Costa Rica,Latin America & Caribbean,Upper middle income,CRI,,45
Cuba,Latin America & Caribbean,Upper middle income,CUB,,46
Curaçao,Latin America & Caribbean,High income,CUW,,47
Îles Caïmans,Latin America & Caribbean,High income,CYM,,48
Chypre,Europe & Central Asia,High income,CYP,,49
Tchéquie,Europe & Central Asia,High income,CZE,,50
Allemagne,Europe & Central Asia,High income,DEU,,51
Djibouti,Middle East & North Africa,Lower middle income,DJI,,52
Dominique,Latin America & Caribbean,Upper middle income,DMA,,53
Danemark,Europe & Central Asia,High income,DNK,,54
République dominicaine,Latin America & Caribbean,Upper middle income,DOM,,55
Algérie,Middle East & North Africa,Lower middle income,DZA,,56
Équateur,Latin America & Caribbean,Upper middle income,ECU,,57
"Egypte, Rép. Arabe",Middle East & North Africa,Lower middle income,EGY,,58
Érythrée,Sub-Saharan Africa,Low income,ERI,,59
Espagne,Europe & Central Asia,High income,ESP,,60
Estonie,Europe & Central Asia,High income,EST,,61
Ethiopie,Sub-Saharan Africa,Low income,ETH,,62
Finlande,Europe & Central Asia,High income,FIN,,63
Fidji,East Asia & Pacific,Upper middle income,FJI,,64
France,Europe & Central Asia,High income,FRA,,65
Îles Féroé,Europe & Central Asia,High income,FRO,,66
"Micronésie, Fed. Sts.",East Asia & Pacific,Lower middle income,FSM,,67
Gabon,Sub-Saharan Africa,Upper middle income,GAB,,68
Royaume-Uni,Europe & Central Asia,High income,GBR,,69
Géorgie,Europe & Central Asia,Upper middle income,GEO,,70
Ghana,Sub-Saharan Africa,Lower middle income,GHA,,71
Gibraltar,Europe & Central Asia,High income,GIB,,72
Guinée,Sub-Saharan Africa,Lower middle income,GIN,,73
"Gambie, La",Sub-Saharan Africa,Low income,GMB,,74
Guinée-Bissau,Sub-Saharan Africa,Low income,GNB,,75
Guinée équatoriale,Sub-Saharan Africa,Upper middle income,GNQ,,76
Grèce,Europe & Central Asia,High income,GRC,,77
Grenade,Latin America & Caribbean,Upper middle income,GRD,,78
Groenland,Europe & Central Asia,High income,GRL,,79
Guatemala,Latin America & Caribbean,Upper middle income,GTM,,80
Guam,East Asia & Pacific,High income,GUM,,81
Guyane,Latin America & Caribbean,High income,GUY,,82
"RAS de Hong Kong, Chine",East Asia & Pacific,High income,HKG,,83
Honduras,Latin America & Caribbean,Lower middle income,HND,,84
Croatie,Europe & Central Asia,High income,HRV,,85
Haïti,Latin America & Caribbean,Lower middle income,HTI,,86
Hongrie,Europe & Central Asia,High income,HUN,,87
Indonésie,East Asia & Pacific,Upper middle income,IDN,,89
Île de Man,Europe & Central Asia,High income,IMN,,90
Inde,South Asia,Lower middle income,IND,,91
Irlande,Europe & Central Asia,High income,IRL,,92
"Iran, Rép. Islamique.",Middle East & North Africa,Lower middle income,IRN,,93
Irak,Middle East & North Africa,Upper middle income,IRQ,,94
Islande,Europe & Central Asia,High income,ISL,,95
Israël,Middle East & North Africa,High income,ISR,,96
Italie,Europe & Central Asia,High income,ITA,,97
Jamaïque,Latin America & Caribbean,Upper middle income,JAM,,98
Jordanie,Middle East & North Africa,Lower middle income,JOR,,100
Japon,East Asia & Pacific,High income,JPN,,101
Kazakhstan,Europe & Central Asia,Upper middle income,KAZ,,102
Kenya,Sub-Saharan Africa,Lower middle income,KEN,,103
République kirghize,Europe & Central Asia,Lower middle income,KGZ,,104
Cambodge,East Asia & Pacific,Lower middle income,KHM,,105
Kiribati,East Asia & Pacific,Lower middle income,KIR,,106
Saint-Kitts-et-Nevis,Latin America & Caribbean,High income,KNA,,107
"Corée, Rép.",East Asia & Pacific,High income,KOR,,108
Koweit,Middle East & North Africa,High income,KWT,,109
RDP lao,East Asia & Pacific,Lower middle income,LAO,,110
Liban,Middle East & North Africa,Lower middle income,LBN,,111
Libéria,Sub-Saharan Africa,Low income,LBR,,112
Libye,Middle East & North Africa,Upper middle income,LBY,,113
Sainte-Lucie,Latin America & Caribbean,Upper middle income,LCA,,114
Liechtenstein,Europe & Central Asia,High income,LIE,,115
Sri Lanka,South Asia,Lower middle income,LKA,,116
Lesotho,Sub-Saharan Africa,Lower middle income,LSO,,117
Lituanie,Europe & Central Asia,High income,LTU,,118
Luxembourg,Europe & Central Asia,High income,LUX,,119
Lettonie,Europe & Central Asia,High income,LVA,,120
"RAS de Macao, Chine",East Asia & Pacific,High income,MAC,,121
Saint-Martin (partie française),Latin America & Caribbean,High income,MAF,,122
Maroc,Middle East & North Africa,Lower middle income,MAR,,123
Monaco,Europe & Central Asia,High income,MCO,,124
Moldavie,Europe & Central Asia,Upper middle income,MDA,,125
Madagascar,Sub-Saharan Africa,Low income,MDG,,126
Maldives,South Asia,Upper middle income,MDV,,127
Mexique,Latin America & Caribbean,Upper middle income,MEX,,128
Îles Marshall,East Asia & Pacific,Upper middle income,MHL,,129
Macédoine du Nord,Europe & Central Asia,Upper middle income,MKD,,130
Mali,Sub-Saharan Africa,Low income,MLI,,131
Malte,Middle East & North Africa,High income,MLT,,132
Birmanie,East Asia & Pacific,Lower middle income,MMR,,133
Monténégro,Europe & Central Asia,Upper middle income,MNE,,134
Mongolie,East Asia & Pacific,Lower middle income,MNG,,135
Îles Mariannes du Nord,East Asia & Pacific,High income,MNP,,136
Mozambique,Sub-Saharan Africa,Low income,MOZ,,137
Mauritanie,Sub-Saharan Africa,Lower middle income,MRT,,138
Maurice,Sub-Saharan Africa,Upper middle income,MUS,,139
Malawi,Sub-Saharan Africa,Low income,MWI,,140
Malaisie,East Asia & Pacific,Upper middle income,MYS,,141
Namibie,Sub-Saharan Africa,Upper middle income,NAM,,142
Nouvelle-Calédonie,East Asia & Pacific,High income,NCL,,143
Niger,Sub-Saharan Africa,Low income,NER,,144
Nigeria,Sub-Saharan Africa,Lower middle income,NGA,,145
Nicaragua,Latin America & Caribbean,Lower middle income,NIC,,146
Pays-Bas,Europe & Central Asia,High income,NLD,,147
Norvège,Europe & Central Asia,High income,NOR,,148
Népal,South Asia,Lower middle income,NPL,,149
Nauru,East Asia & Pacific,High income,NRU,,150
Nouvelle-Zélande,East Asia & Pacific,High income,NZL,,151
Oman,Middle East & North Africa,High income,OMN,,152
Pakistan,South Asia,Lower middle income,PAK,,153
Panama,Latin America & Caribbean,High income,PAN,,154
Pérou,Latin America & Caribbean,Upper middle income,PER,,155
Philippines,East Asia & Pacific,Lower middle income,PHL,,156
Palaos,East Asia & Pacific,Upper middle income,PLW,,157
Papouasie-Nouvelle-Guinée,East Asia & Pacific,Lower middle income,PNG,,158
Pologne,Europe & Central Asia,High income,POL,,159
Porto Rico,Latin America & Caribbean,High income,PRI,,160
"Corée, Dém. Représentant du peuple.",East Asia & Pacific,Low income,PRK,,161
Portugal,Europe & Central Asia,High income,PRT,,162
Paraguay,Latin America & Caribbean,Upper middle income,PRY,,163
Cisjordanie et Gaza,Middle East & North Africa,Upper middle income,PSE,,164
Polynésie française,East Asia & Pacific,High income,PYF,,165
Qatar,Middle East & North Africa,High income,QAT,,166
Roumanie,Europe & Central Asia,High income,ROU,,167
Fédération de Russie,Europe & Central Asia,Upper middle income,RUS,,168
Rwanda,Sub-Saharan Africa,Low income,RWA,,169
Arabie Saoudite,Middle East & North Africa,High income,SAU,,170
Soudan,Sub-Saharan Africa,Low income,SDN,,171
Sénégal,Sub-Saharan Africa,Lower middle income,SEN,,172
Singapour,East Asia & Pacific,High income,SGP,,173
Îles Salomon,East Asia & Pacific,Lower middle income,SLB,,174
Sierra Leone,Sub-Saharan Africa,Low income,SLE,,175
Salvador,Latin America & Caribbean,Upper middle income,SLV,,176
Saint-Marin,Europe & Central Asia,High income,SMR,,177
Somalie,Sub-Saharan Africa,Low income,SOM,,178
Serbie,Europe & Central Asia,Upper middle income,SRB,,179
Soudan du Sud,Sub-Saharan Africa,Low income,SSD,,180
São Tomé et Príncipe,Sub-Saharan Africa,Lower middle income,STP,,181
Surinam,Latin America & Caribbean,Upper middle income,SUR,,182
République slovaque,Europe & Central Asia,High income,SVK,,183
Slovénie,Europe & Central Asia,High income,SVN,,184
Suède,Europe & Central Asia,High income,SWE,,185
Eswatini,Sub-Saharan Africa,Lower middle income,SWZ,,186
Sint Maarten (partie néerlandaise),Latin America & Caribbean,High income,SXM,,187
Seychelles,Sub-Saharan Africa,High income,SYC,,188
République arabe syrienne,Middle East & North Africa,Low income,SYR,,189
Îles Turques et Caïques,Latin America & Caribbean,High income,TCA,,190
Tchad,Sub-Saharan Africa,Low income,TCD,,191
Aller,Sub-Saharan Africa,Low income,TGO,,192
Thaïlande,East Asia & Pacific,Upper middle income,THA,,193
Tadjikistan,Europe & Central Asia,Lower middle income,TJK,,194
Turkménistan,Europe & Central Asia,Upper middle income,TKM,,195
Timor-Leste,East Asia & Pacific,Lower middle income,TLS,,196
Tonga,East Asia & Pacific,Upper middle income,TON,,197
Trinité-et-Tobago,Latin America & Caribbean,High income,TTO,,198
Tunisie,Middle East & North Africa,Lower middle income,TUN,,199
Turquie,Europe & Central Asia,Upper middle income,TUR,,200
Tuvalu,East Asia & Pacific,Upper middle income,TUV,,201
"Taïwan, Chine",East Asia & Pacific,High income,TWN,,202
Tanzanie,Sub-Saharan Africa,Lower middle income,TZA,,203
Ouganda,Sub-Saharan Africa,Low income,UGA,,204
Ukraine,Europe & Central Asia,Lower middle income,UKR,,205
Uruguay,Latin America & Caribbean,High income,URY,,206
États-Unis,North America,High income,USA,,207
Ouzbékistan,Europe & Central Asia,Lower middle income,UZB,,208
Saint-Vincent-et-les Grenadines,Latin America & Caribbean,Upper middle income,VCT,,209
"Venezuela, RB",Latin America & Caribbean,,VEN,,210
Îles Vierges britanniques,Latin America & Caribbean,High income,VGB,,211
Îles Vierges (États-Unis),Latin America & Caribbean,High income,VIR,,212
Viêt Nam,East Asia & Pacific,Lower middle income,VNM,,213
Vanuatu,East Asia & Pacific,Lower middle income,VUT,,214
Samoa,East Asia & Pacific,Lower middle income,WSM,,215
Kosovo,Europe & Central Asia,Upper middle income,XKX,,216
"Yémen, Rép.",Middle East & North Africa,Low income,YEM,,217
Afrique du Sud,Sub-Saharan Africa,Upper middle income,ZAF,,218
Zambie,Sub-Saharan Africa,Lower middle income,ZMB,,219
Zimbabwe,Sub-Saharan Africa,Lower middle income,ZWE,,220
