Country,Region,Income group,Code,Selected,Value
Aruba,Amérique latine et Caraïbes,High income,ABW,,1
Afghanistan,Asie du Sud,Low income,AFG,,2
Angola,Afrique subsaharienne,Lower middle income,AGO,,3
Albanie,Europe et Asie centrale,Upper middle income,ALB,,4
Andorre,Europe et Asie centrale,High income,AND,,5
Émirats arabes unis,Moyen-Orient et Afrique du Nord,High income,ARE,,6
Argentine,Amérique latine et Caraïbes,Upper middle income,ARG,,7
Arménie,Europe et Asie centrale,Upper middle income,ARM,,8
Samoa américaines,Asie de l'Est et Pacifique,High income,ASM,,9
Antigua-et-Barbuda,Amérique latine et Caraïbes,High income,ATG,,10
Australie,Asie de l'Est et Pacifique,High income,AUS,,11
Autriche,Europe et Asie centrale,High income,AUT,,12
Azerbaïdjan,Europe et Asie centrale,Upper middle income,AZE,,13
Burundi,Afrique subsaharienne,Low income,BDI,,14
Belgique,Europe et Asie centrale,High income,BEL,,15
Bénin,Afrique subsaharienne,Lower middle income,BEN,,16
Burkina Faso,Afrique subsaharienne,Low income,BFA,,17
Bangladesh,Asie du Sud,Lower middle income,BGD,,18
Bulgarie,Europe et Asie centrale,Upper middle income,BGR,,19
Bahreïn,Moyen-Orient et Afrique du Nord,High income,BHR,,20
"Bahamas, Les",Amérique latine et Caraïbes,High income,BHS,,21
Bosnie-Herzégovine,Europe et Asie centrale,Upper middle income,BIH,,22
Biélorussie,Europe et Asie centrale,Upper middle income,BLR,,23
Bélize,Amérique latine et Caraïbes,Upper middle income,BLZ,,24
Bermudes,Amérique du Nord,High income,BMU,,25
Bolivie,Amérique latine et Caraïbes,Lower middle income,BOL,,26
Brésil,Amérique latine et Caraïbes,Upper middle income,BRA,,27
Barbade,Amérique latine et Caraïbes,High income,BRB,,28
Brunéi Darussalam,Asie de l'Est et Pacifique,High income,BRN,,29
Bhoutan,Asie du Sud,Lower middle income,BTN,,30
Botswana,Afrique subsaharienne,Upper middle income,BWA,,31
République centrafricaine,Afrique subsaharienne,Low income,CAF,,32
Canada,Amérique du Nord,High income,CAN,,33
Suisse,Europe et Asie centrale,High income,CHE,,34
Îles anglo-normandes,Europe et Asie centrale,High income,CHI,,35
Chili,Amérique latine et Caraïbes,High income,CHL,,36
Chine,Asie de l'Est et Pacifique,Upper middle income,CHN,,37
Côte d'Ivoire,Afrique subsaharienne,Lower middle income,CIV,,38
Cameroun,Afrique subsaharienne,Lower middle income,CMR,,39
"Congo, Dém. représentant",Afrique subsaharienne,Low income,COD,,40
"Congo, Rép.",Afrique subsaharienne,Lower middle income,COG,,41
Colombie,Amérique latine et Caraïbes,Upper middle income,COL,,42
Comores,Afrique subsaharienne,Lower middle income,COM,,43
Cap-Vert,Afrique subsaharienne,Lower middle income,CPV,,44
Costa Rica,Amérique latine et Caraïbes,Upper middle income,CRI,,45
Cuba,Amérique latine et Caraïbes,Upper middle income,CUB,,46
Curaçao,Amérique latine et Caraïbes,High income,CUW,,47
Îles Caïmans,Amérique latine et Caraïbes,High income,CYM,,48
Chypre,Europe et Asie centrale,High income,CYP,,49
Tchéquie,Europe et Asie centrale,High income,CZE,,50
Allemagne,Europe et Asie centrale,High income,DEU,,51
Djibouti,Moyen-Orient et Afrique du Nord,Lower middle income,DJI,,52
Dominique,Amérique latine et Caraïbes,Upper middle income,DMA,,53
Danemark,Europe et Asie centrale,High income,DNK,,54
République dominicaine,Amérique latine et Caraïbes,Upper middle income,DOM,,55
Algérie,Moyen-Orient et Afrique du Nord,Lower middle income,DZA,,56
Équateur,Amérique latine et Caraïbes,Upper middle income,ECU,,57
"Egypte, Rép. Arabe",Moyen-Orient et Afrique du Nord,Lower middle income,EGY,,58
Érythrée,Afrique subsaharienne,Low income,ERI,,59
Espagne,Europe et Asie centrale,High income,ESP,,60
Estonie,Europe et Asie centrale,High income,EST,,61
Ethiopie,Afrique subsaharienne,Low income,ETH,,62
Finlande,Europe et Asie centrale,High income,FIN,,63
Fidji,Asie de l'Est et Pacifique,Upper middle income,FJI,,64
France,Europe et Asie centrale,High income,FRA,,65
Îles Féroé,Europe et Asie centrale,High income,FRO,,66
"Micronésie, Fed. Sts.",Asie de l'Est et Pacifique,Lower middle income,FSM,,67
Gabon,Afrique subsaharienne,Upper middle income,GAB,,68
Royaume-Uni,Europe et Asie centrale,High income,GBR,,69
Géorgie,Europe et Asie centrale,Upper middle income,GEO,,70
Ghana,Afrique subsaharienne,Lower middle income,GHA,,71
Gibraltar,Europe et Asie centrale,High income,GIB,,72
Guinée,Afrique subsaharienne,Lower middle income,GIN,,73
"Gambie, La",Afrique subsaharienne,Low income,GMB,,74
Guinée-Bissau,Afrique subsaharienne,Low income,GNB,,75
Guinée équatoriale,Afrique subsaharienne,Upper middle income,GNQ,,76
Grèce,Europe et Asie centrale,High income,GRC,,77
Grenade,Amérique latine et Caraïbes,Upper middle income,GRD,,78
Groenland,Europe et Asie centrale,High income,GRL,,79
Guatemala,Amérique latine et Caraïbes,Upper middle income,GTM,,80
Guam,Asie de l'Est et Pacifique,High income,GUM,,81
Guyane,Amérique latine et Caraïbes,High income,GUY,,82
"RAS de Hong Kong, Chine",Asie de l'Est et Pacifique,High income,HKG,,83
Honduras,Amérique latine et Caraïbes,Lower middle income,HND,,84
Croatie,Europe et Asie centrale,High income,HRV,,85
Haïti,Amérique latine et Caraïbes,Lower middle income,HTI,,86
Hongrie,Europe et Asie centrale,High income,HUN,,87
Indonésie,East Asia & Pacific,Upper middle income,IDN,,88
Île de Man,Europe et Asie centrale,High income,IMN,,89
Inde,Asie du Sud,Lower middle income,IND,,90
Irlande,Europe et Asie centrale,High income,IRL,,91
"Iran, Rép. Islamique.",Moyen-Orient et Afrique du Nord,Lower middle income,IRN,,92
Irak,Moyen-Orient et Afrique du Nord,Upper middle income,IRQ,,93
Islande,Europe et Asie centrale,High income,ISL,,94
Israël,Moyen-Orient et Afrique du Nord,High income,ISR,,95
Italie,Europe et Asie centrale,High income,ITA,,96
Jamaïque,Amérique latine et Caraïbes,Upper middle income,JAM,,97
Jordanie,Moyen-Orient et Afrique du Nord,Lower middle income,JOR,,98
Japon,East Asia & Pacific,High income,JPN,,99
Kazakhstan,Europe et Asie centrale,Upper middle income,KAZ,,100
Kenya,Afrique subsaharienne,Lower middle income,KEN,,101
République kirghize,Europe et Asie centrale,Lower middle income,KGZ,,102
